AAPL, AMZN, GOOG, MSFT, NVDA, return, volatility, sharp ratio, 
0.019219, 0.163171, 0.274165, 0.302485, 0.240960, 0.580641, 0.225531, 2.381233, 
0.059714, 0.300036, 0.441261, 0.088224, 0.110766, 0.495785, 0.222854, 2.029059, 
0.094672, 0.173684, 0.294971, 0.316850, 0.119822, 0.467457, 0.200815, 2.110689, 
0.032457, 0.300440, 0.357296, 0.280043, 0.029763, 0.421985, 0.205819, 1.838439, 
0.273724, 0.282397, 0.202436, 0.007642, 0.233801, 0.527023, 0.220366, 2.193730, 
0.047518, 0.168327, 0.259415, 0.126104, 0.398637, 0.706955, 0.262915, 2.523075, 
0.259931, 0.217614, 0.265984, 0.125675, 0.130795, 0.445210, 0.198925, 2.018904, 
0.067949, 0.178443, 0.449629, 0.027661, 0.276319, 0.624721, 0.245468, 2.367403, 
0.046067, 0.194315, 0.028149, 0.558492, 0.172977, 0.489581, 0.209587, 2.127903, 
0.265715, 0.036531, 0.027928, 0.189282, 0.480544, 0.693872, 0.268994, 2.417426, 
0.069352, 0.348927, 0.029768, 0.198164, 0.353789, 0.651191, 0.256006, 2.373341, 
0.121628, 0.182607, 0.005283, 0.381533, 0.308949, 0.586070, 0.232461, 2.333596, 
0.000463, 0.245321, 0.084038, 0.288678, 0.381500, 0.685810, 0.260586, 2.464485, 
0.130639, 0.214768, 0.346084, 0.074314, 0.234195, 0.567142, 0.227520, 2.301081, 
0.183645, 0.113984, 0.394164, 0.203667, 0.104540, 0.445034, 0.199808, 2.009098, 
0.134299, 0.451768, 0.155126, 0.155767, 0.103040, 0.451671, 0.211723, 1.927380, 
0.028289, 0.199365, 0.367487, 0.051432, 0.353428, 0.688789, 0.260400, 2.477684, 
0.220029, 0.231184, 0.121934, 0.227355, 0.199498, 0.493755, 0.206601, 2.178861, 
0.317422, 0.131350, 0.238433, 0.036258, 0.276537, 0.546461, 0.222100, 2.264126, 
0.153756, 0.215517, 0.201087, 0.121200, 0.308440, 0.607113, 0.235406, 2.393797, 
0.031381, 0.363238, 0.481138, 0.015670, 0.108573, 0.509781, 0.234488, 1.988080, 
0.113670, 0.171724, 0.072056, 0.291879, 0.350670, 0.630357, 0.242287, 2.421747, 
0.188538, 0.323439, 0.027897, 0.074038, 0.386088, 0.653282, 0.257927, 2.363778, 
0.339655, 0.218269, 0.041254, 0.013701, 0.387121, 0.618013, 0.248975, 2.307111, 
0.404947, 0.012750, 0.298792, 0.170939, 0.112572, 0.388822, 0.190217, 1.814884, 
0.070367, 0.192900, 0.217708, 0.229943, 0.289081, 0.606881, 0.233089, 2.416587, 
0.107791, 0.292135, 0.211304, 0.083520, 0.305250, 0.621021, 0.242379, 2.382309, 
0.246987, 0.138132, 0.006076, 0.291275, 0.317530, 0.565674, 0.227793, 2.291879, 
0.278917, 0.074691, 0.213139, 0.300713, 0.132539, 0.424189, 0.189116, 2.012460, 
0.074752, 0.217242, 0.358703, 0.117774, 0.231530, 0.577381, 0.229906, 2.321736, 
0.248666, 0.239008, 0.180216, 0.029894, 0.302215, 0.583075, 0.232562, 2.319706, 
0.262896, 0.109784, 0.171795, 0.102761, 0.352765, 0.610973, 0.237539, 2.388547, 
0.080951, 0.187107, 0.213406, 0.260472, 0.258064, 0.577628, 0.224827, 2.375279, 
0.213946, 0.300390, 0.075674, 0.226229, 0.183761, 0.481659, 0.207224, 2.113941, 
0.006746, 0.375341, 0.169091, 0.197322, 0.251500, 0.596677, 0.239767, 2.306728, 
0.240012, 0.221073, 0.046059, 0.182921, 0.309936, 0.572722, 0.229685, 2.303684, 
0.294958, 0.137227, 0.294092, 0.096737, 0.176986, 0.474239, 0.204192, 2.108988, 
0.250042, 0.379510, 0.290790, 0.012619, 0.067038, 0.410187, 0.205447, 1.784343, 
0.221212, 0.094892, 0.252825, 0.066764, 0.364308, 0.637685, 0.244077, 2.434008, 
0.150636, 0.188134, 0.155145, 0.192575, 0.313510, 0.603837, 0.233371, 2.400628, 
0.324624, 0.251743, 0.374171, 0.043422, 0.006040, 0.344110, 0.195404, 1.537893, 
0.141064, 0.290649, 0.243350, 0.190861, 0.134076, 0.474047, 0.206143, 2.088098, 
0.278178, 0.093334, 0.304262, 0.133727, 0.190498, 0.486408, 0.205259, 2.157317, 
0.031740, 0.295676, 0.108470, 0.258593, 0.305521, 0.623055, 0.242891, 2.385663, 
0.278929, 0.213035, 0.101145, 0.091686, 0.315204, 0.576029, 0.230819, 2.306692, 
0.112860, 0.417920, 0.023195, 0.417172, 0.028853, 0.373521, 0.198067, 1.665702, 
0.338257, 0.081866, 0.222499, 0.239773, 0.117605, 0.402035, 0.187195, 1.914771, 
0.230276, 0.406536, 0.045096, 0.101392, 0.216700, 0.511519, 0.221628, 2.111282, 
0.197697, 0.356057, 0.299332, 0.072816, 0.074098, 0.425238, 0.205355, 1.858432, 
0.159097, 0.255037, 0.070682, 0.462369, 0.052816, 0.377069, 0.187248, 1.780896, 
0.365581, 0.360430, 0.156574, 0.064295, 0.053119, 0.357723, 0.192064, 1.635510, 
0.341081, 0.112744, 0.240947, 0.002577, 0.302650, 0.562726, 0.227927, 2.277593, 
0.310968, 0.358685, 0.029243, 0.117616, 0.183489, 0.461970, 0.208777, 2.003903, 
0.165721, 0.386728, 0.193381, 0.216483, 0.037687, 0.389788, 0.197244, 1.755119, 
0.256714, 0.259762, 0.261082, 0.185708, 0.036735, 0.369362, 0.188566, 1.727579, 
0.072175, 0.431131, 0.207130, 0.110699, 0.178864, 0.532406, 0.228248, 2.141557, 
0.201811, 0.094540, 0.146776, 0.386495, 0.170379, 0.464159, 0.196179, 2.143757, 
0.154973, 0.278695, 0.229174, 0.056106, 0.281052, 0.592691, 0.234751, 2.339033, 
0.192360, 0.297144, 0.236777, 0.214868, 0.058851, 0.400440, 0.193589, 1.843290, 
0.122559, 0.009214, 0.011413, 0.464646, 0.392168, 0.642180, 0.248997, 2.403968, 
0.073852, 0.396214, 0.336348, 0.043032, 0.150554, 0.521578, 0.228509, 2.091724, 
0.256931, 0.089684, 0.022227, 0.442368, 0.188790, 0.452979, 0.198272, 2.064735, 
0.156755, 0.173742, 0.247334, 0.288798, 0.133372, 0.461004, 0.197778, 2.110467, 
0.019770, 0.140525, 0.132629, 0.459015, 0.248061, 0.566670, 0.222483, 2.351061, 
0.038181, 0.131597, 0.121335, 0.320812, 0.388075, 0.679198, 0.254547, 2.496976, 
0.139816, 0.276972, 0.286435, 0.143806, 0.152970, 0.494536, 0.211211, 2.134999, 
0.178139, 0.222329, 0.016859, 0.339677, 0.242996, 0.524425, 0.216168, 2.224311, 
0.103117, 0.207357, 0.366526, 0.124308, 0.198692, 0.544380, 0.221931, 2.256467, 
0.083870, 0.215421, 0.282773, 0.282067, 0.135870, 0.485082, 0.205680, 2.146452, 
0.083817, 0.311213, 0.220851, 0.155640, 0.228479, 0.563607, 0.227337, 2.287386, 
0.050416, 0.396632, 0.017428, 0.266642, 0.268882, 0.585607, 0.240022, 2.258157, 
0.008429, 0.536844, 0.216977, 0.008415, 0.229335, 0.597458, 0.254287, 2.178083, 
0.240473, 0.133692, 0.263100, 0.252775, 0.109960, 0.423823, 0.190766, 1.993142, 
0.238099, 0.065216, 0.339620, 0.181223, 0.175842, 0.483777, 0.203977, 2.157974, 
0.161946, 0.345465, 0.070590, 0.119768, 0.302231, 0.594835, 0.238997, 2.306451, 
0.201333, 0.174593, 0.201503, 0.087315, 0.335256, 0.617235, 0.238547, 2.404698, 
0.128736, 0.151154, 0.252709, 0.140240, 0.327161, 0.628764, 0.239349, 2.444818, 
0.381678, 0.130015, 0.236736, 0.115973, 0.135597, 0.414835, 0.193246, 1.921046, 
0.320896, 0.056962, 0.278292, 0.310317, 0.033533, 0.339305, 0.179547, 1.646951, 
0.195893, 0.463338, 0.231379, 0.098514, 0.010877, 0.372719, 0.203766, 1.615182, 
0.205349, 0.130490, 0.212949, 0.248132, 0.203079, 0.502543, 0.205332, 2.235125, 
0.143519, 0.166067, 0.081783, 0.352158, 0.256474, 0.545859, 0.217881, 2.305199, 
0.112850, 0.146013, 0.027601, 0.405254, 0.308282, 0.586896, 0.231076, 2.351161, 
0.207909, 0.188788, 0.244607, 0.092485, 0.266211, 0.564342, 0.224165, 2.323031, 
0.248009, 0.316204, 0.156155, 0.053618, 0.226015, 0.522376, 0.219178, 2.184419, 
0.111379, 0.127867, 0.344088, 0.235817, 0.180849, 0.518121, 0.211189, 2.246907, 
0.305050, 0.096265, 0.344017, 0.206602, 0.048066, 0.366280, 0.186734, 1.728025, 
0.151279, 0.241661, 0.154804, 0.212045, 0.240211, 0.546331, 0.219150, 2.294006, 
0.188777, 0.010362, 0.112483, 0.219973, 0.468406, 0.706810, 0.266691, 2.486813, 
0.308476, 0.050340, 0.188351, 0.265827, 0.187005, 0.459321, 0.196823, 2.112155, 
